,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
DWD,DWD,ORG,-0.023684210526315776,0.02631578947368421,de,19,,,,,,
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.10980392156862744,0.029411764705882353,de,17,,,,,,
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,0.37,0.0,de,5,,,,,,
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,-0.27499999999999997,0.0,de,4,,,,,,
Berlin/Potsdam,Berlin/Potsdam,ORG,0.3375,0.0,de,4,,,,,,
Kältebusse,Kältebusse,ORG,0.0,0.0,de,3,,,,,,
Biathlon-Weltverband,Biathlon-Weltverband,ORG,0.0,0.6666666666666666,de,3,,,,,,
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,-0.2333333333333333,0.0,de,3,,,,,,
RTL,RTL,ORG,0.5,0.0,de,2,,,,,,
EU Russland,EU Russland,ORG,-1.0,0.0,de,2,,,,,,
Techem,Techem,ORG,0.0,0.0,de,2,,,,,,
lby,lby,ORG,0.35,0.0,de,2,,,,,,
EU,EU,ORG,-0.5,0.0,de,2,,,,,,
Land,Land,ORG,0.0,0.0,de,2,,,,,,
Herbst!,Herbst!,ORG,0.0,0.0,de,2,,,,,,
lhe,lhe,ORG,-0.35,0.5,de,2,,,,,,
Icahn School of Medicine,Icahn School of Medicine,ORG,0.0,0.0,de,1,,,,,,
Schneemasse…,Schneemasse…,ORG,-0.7,0.0,de,1,,,,,,
SPD-Basis,SPD-Basis,ORG,0.7,0.0,de,1,,,,,,
SPD,SPD,ORG,0.0,0.0,de,1,,,,,,
FSW,FSW,ORG,0.0,0.0,de,1,,,,,,
Grünen-Politikeri…,Grünen-Politikeri…,ORG,0.0,0.0,de,1,,,,,,
Fonds Soziales Wien,Fonds Soziales Wien,ORG,0.0,0.0,de,1,,,,,,
Bu…,Bu…,ORG,0.0,0.0,de,1,,,,,,
AfD,AfD,ORG,0.0,0.0,de,1,,,,,,
Dead Space,Dead Space,ORG,0.2333333333333333,0.0,de,1,,,,,,
Spätsommer-Hoffnung,Spätsommer-Hoffnung,ORG,0.0,0.0,de,1,,,,,,
Mittelwerten,Mittelwerten,ORG,0.0,0.0,de,1,,,,,,
K…,K…,ORG,-1.0,0.0,de,1,,,,,,
Schimmel,Schimmel,ORG,0.0,0.0,de,1,,,,,,
Hundertjährige Kalender,Hundertjährige Kalender,ORG,0.0,0.0,de,1,,,,,,
di…,di…,ORG,-0.7,0.0,de,1,,,,,,
Polizei ger,Polizei ger,ORG,0.0,0.0,de,1,,,,,,
Zeit der Militärdiktatur,Zeit der Militärdiktatur,ORG,0.0,0.0,de,1,,,,,,
Straßenverkehrsbehörde Hessen Mobil,Straßenverkehrsbehörde Hessen Mobil,ORG,0.0,0.0,de,1,,,,,,
Streuwa…,Streuwa…,ORG,0.0,0.0,de,1,,,,,,
picture alliance,picture alliance,ORG,0.0,0.0,de,1,,,,,,
Fotostand,Fotostand,ORG,0.0,0.0,de,1,,,,,,
Thermometer…,Thermometer…,ORG,0.0,0.0,de,1,,,,,,
Big Brother,Big Brother,ORG,0.0,0.0,de,1,,,,,,
DHDL,DHDL,ORG,0.0,0.0,de,1,,,,,,
Endemolshine,Endemolshine,ORG,0.7,0.0,de,1,,,,,,
Kälteschock!,Kälteschock!,ORG,-1.0,0.0,de,1,,,,,,
Fichtelber…,Fichtelber…,ORG,0.0,0.0,de,1,,,,,,
SCHNEE!,SCHNEE!,ORG,0.0,0.0,de,1,,,,,,
D…,D…,ORG,0.0,0.0,de,1,,,,,,
Ab Mittwoch,Ab Mittwoch,ORG,0.0,0.0,de,1,,,,,,
Bodenfrost,Bodenfrost,ORG,0.0,0.0,de,1,,,,,,
ADAC,ADAC,ORG,1.0,0.0,de,1,,,,,,
Kleing…,Kleing…,ORG,0.0,0.0,de,1,,,,,,
Bergl…,Bergl…,ORG,0.0,0.0,de,1,,,,,,
bb,bb,ORG,0.0,0.0,de,1,,,,,,
Dänemark hi,Dänemark hi,ORG,-0.7,0.0,de,1,,,,,,
Sonn…,Sonn…,ORG,0.0,0.0,de,1,,,,,,
Chinas,Chinas,ORG,0.0,0.0,de,1,,,,,,
Fr…,Fr…,ORG,0.0,0.0,de,1,,,,,,
München,München,ORG,0.7,0.0,de,1,,,,,,
Nebel ode,Nebel ode,ORG,0.0,0.0,de,1,,,,,,
AUTO,AUTO,ORG,0.7,0.0,de,1,,,,,,
Deutsche Wetterd…,Deutsche Wetterd…,ORG,0.0,0.0,de,1,,,,,,
NRW-Wetter,NRW-Wetter,ORG,0.0,0.0,de,1,,,,,,
f…,f…,ORG,0.0,0.0,de,1,,,,,,
Deutsche Telekom,Deutsche Telekom,ORG,0.7,0.0,de,1,,,,,,
we…,we…,ORG,0.0,0.0,de,1,,,,,,
Paritätische Gesamtverband,Paritätische Gesamtverband,ORG,0.0,0.0,de,1,,,,,,
Höch…,Höch…,ORG,0.0,0.0,de,1,,,,,,
beach…,beach…,ORG,0.0,0.0,de,1,,,,,,
Copyright Lupa Film,Copyright Lupa Film,ORG,1.0,0.0,de,1,,,,,,
CG Cinema,CG Cinema,ORG,1.0,0.0,de,1,,,,,,
Hype Studios,Hype Studios,ORG,1.0,0.0,de,1,,,,,,
Schocktober!,Schocktober!,ORG,0.0,0.0,de,1,,,,,,
Nordsee …,Nordsee …,ORG,0.0,0.0,de,1,,,,,,
OMR,OMR,ORG,0.0,0.0,de,1,,,,,,
